,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PURA,4.474249,-0.0155641325,-0.036687646,2.5213413,5.7741613,-0.042989124,7.773789,0.042587295,2.354047,-0.03614842,5.8812714,4.381691,-0.07857026,2.4434316,-0.068824336,-0.07582441
GJB3,4.824,-0.017024273,-0.036074508,3.2127385,6.3898134,-0.045873117,8.059441,-0.0040035136,2.5110378,-0.04474829,5.766569,4.928316,-0.07600368,2.09714,-0.074223496,-0.082292005
SNORD43,1.2750942,0.50784075,0.40021995,0.84832203,2.1817462,-0.015784109,2.1462147,-0.005549229,0.17540494,-0.015097676,2.2852573,2.4102368,-0.019400489,0.51212114,-0.016297778,-0.017579608
HNRNPK,4.833153,-0.020711344,-0.040050425,2.9178882,6.1481905,-0.04290784,8.249065,-0.004473863,2.6104646,-0.04527271,5.713458,4.3918405,-0.074363776,2.3943858,-0.07359343,-0.0796582
MYBBP1A,4.8413663,-0.017187955,-0.036492005,3.2258196,6.4005585,-0.045948815,8.087539,-0.0039213165,2.5184844,-0.04489247,5.7993097,4.9438734,-0.076351516,2.1175866,-0.07471573,-0.08252886
CREB3,4.8109465,-0.016948855,-0.03595692,3.2080386,6.3680325,-0.0457082,8.035806,-0.0039847773,2.5100272,-0.04458291,5.753978,4.917644,-0.07585271,2.097328,-0.07407497,-0.08205683
SLC5A11,4.791616,-0.016780913,-0.035717998,3.195297,6.33745,-0.0456215,7.995963,-0.0040125865,2.491505,-0.044581406,5.723984,4.894158,-0.0756113,2.089808,-0.0736596,-0.0819088
ATF2,5.085751,-0.01238966,-0.029410416,1.9281955,5.389653,-0.03883044,7.769502,0.18161961,2.0382497,-0.030583447,4.1548386,4.0030966,-0.062176574,2.1377454,-0.068471685,-0.08380414
GM8355,1.275131,0.5078615,0.40019438,0.84834325,2.1817389,-0.015783885,2.1461976,-0.005549084,0.17537174,-0.015098057,2.285288,2.4102616,-0.01940068,0.51212716,-0.016298275,-0.017579997
E2F6,4.813989,-0.016968777,-0.0359457,3.1978502,6.361517,-0.045773666,8.037326,-0.003958492,2.5123367,-0.044655025,5.7483416,4.9069667,-0.07585189,2.0975163,-0.07393056,-0.08210595
KRT8,4.9621325,-0.01854987,-0.03798366,2.9908302,6.27938,-0.04863912,7.598905,-0.006505305,2.7485015,-0.04566955,5.4948034,4.53846,-0.07605563,2.0488365,-0.07446585,-0.08471796
FOXJ3,3.7389092,-0.021667728,-0.034515224,2.41823,6.4153004,-0.04947884,7.976414,-0.0020049314,1.8022554,-0.042597283,5.346012,5.1918674,-0.06970975,1.089102,-0.06359887,-0.071722
TCL1,4.8059344,-0.016828807,-0.03579325,3.202173,6.3575335,-0.045727175,8.019169,-0.004028843,2.500623,-0.04465572,5.734989,4.9032497,-0.075747624,2.0928762,-0.073831916,-0.08209255
FGF10,4.852147,-0.017250938,-0.03655841,3.2279556,6.415244,-0.046008244,8.107486,-0.003924458,2.525544,-0.044873297,5.8080454,4.9538627,-0.07639913,2.1157062,-0.07485403,-0.08259167
MYMX,4.7422276,-0.016498735,-0.034953907,3.164109,6.2878904,-0.045231707,7.91177,-0.004025874,2.4647632,-0.044105027,5.635563,4.830859,-0.07468343,2.0534022,-0.072554074,-0.08129418
ARID1A,3.2332492,-0.006442363,-0.016844034,2.0637403,4.6434803,-0.033568066,5.445335,-0.005789731,1.5290717,-0.031311627,4.106573,3.703288,-0.05081475,1.4431298,-0.047775898,-0.054918025
HEY2,4.834219,-0.017045207,-0.03622861,3.2155201,6.381316,-0.04585841,8.070201,-0.0039290795,2.5171273,-0.04473368,5.773882,4.930521,-0.07617644,2.110036,-0.07438942,-0.082382165
GM44429,1.2750942,0.50784075,0.40021995,0.84832203,2.1817462,-0.015784109,2.1462147,-0.005549229,0.17540494,-0.015097676,2.2852573,2.4102368,-0.019400489,0.51212114,-0.016297778,-0.017579608
IRF4,4.86141,-0.017309317,-0.03679498,3.2262774,6.4256353,-0.046024434,8.1279335,-0.0038877397,2.524706,-0.044844773,5.8379726,4.974201,-0.07651032,2.1238742,-0.07518861,-0.08251265
OVOL1,4.425334,-0.015446336,-0.03687556,3.0009475,6.3044643,-0.042998996,7.4458127,-0.0069728354,2.1520646,-0.04305878,5.4910393,4.607875,-0.07020184,2.219151,-0.07473913,-0.07872991
SIN3A,1.3397682,0.522856,0.36136496,0.81459403,2.0093112,-0.015332785,1.9937725,-0.005526185,0.35830882,-0.014318432,1.9409168,2.1147645,-0.01987791,0.6004964,-0.01639269,-0.01991529
MIR291B,1.2750942,0.50784075,0.40021995,0.84832203,2.1817462,-0.015784109,2.1462147,-0.005549229,0.17540494,-0.015097676,2.2852573,2.4102368,-0.019400489,0.51212114,-0.016297778,-0.017579608
EIF4A2,4.7794194,-0.016556485,-0.03528076,3.1808188,6.331456,-0.045500297,7.975278,-0.004075384,2.49032,-0.04433394,5.701356,4.879729,-0.07529716,2.0797544,-0.07325096,-0.08159746
ZFP989,1.2750942,0.50784075,0.40021995,0.84832203,2.1817462,-0.015784109,2.1462147,-0.005549229,0.17540494,-0.015097676,2.2852573,2.4102368,-0.019400489,0.51212114,-0.016297778,-0.017579608
NR2F2,4.848264,-0.017202253,-0.03640289,3.2246919,6.4188223,-0.04599691,8.101538,-0.00395315,2.5244186,-0.044812378,5.797102,4.9470057,-0.07628368,2.1102293,-0.07467957,-0.08253886
LDLRAP1,4.834174,-0.017054204,-0.036134217,3.2136104,6.3861217,-0.04586484,8.068743,-0.0039432067,2.5149887,-0.04469322,5.7589436,4.9214716,-0.076034844,2.09946,-0.07426031,-0.08243673
BAZ1A,4.8225536,-0.016936949,-0.035957333,3.1997194,6.3841677,-0.045849275,8.053944,-0.0040127034,2.505164,-0.044625796,5.7591743,4.9233327,-0.07586837,2.0944438,-0.07408799,-0.0821516
MCM2,4.817346,-0.016993629,-0.036145397,3.212363,6.3692303,-0.045765933,8.052087,-0.00391359,2.5096276,-0.044682655,5.7670584,4.9236846,-0.07607199,2.1113405,-0.07425289,-0.08219778
PHF12,4.8081937,-0.016883394,-0.03583983,3.2032886,6.367011,-0.0456998,8.031857,-0.0040097893,2.5084183,-0.044570047,5.744487,4.908341,-0.07580863,2.0961046,-0.073921196,-0.082072444
POU4F2,4.516207,-0.018540077,-0.033720125,3.0281231,6.425579,-0.04750797,8.174924,-0.0051642773,2.773683,-0.04142922,5.4814005,4.7032247,-0.07416229,2.041227,-0.06984622,-0.078990854
RARG,4.8111615,-0.016923308,-0.03589712,3.207508,6.37101,-0.045742374,8.035362,-0.003987888,2.5082557,-0.04461689,5.7483807,4.9117365,-0.07583681,2.0963485,-0.073993064,-0.08211386
GLMP,4.1950717,-0.0085344035,-0.033943634,2.7649462,4.957588,-0.046107072,7.329399,0.054446533,1.8004438,-0.039755348,4.488779,4.0939264,-0.07499732,1.6439723,-0.06225532,-0.0816321
CUX1,4.8407536,-0.017131483,-0.036312047,3.2215922,6.40063,-0.045959488,8.085637,-0.00396651,2.521714,-0.044840153,5.785823,4.9392705,-0.076265834,2.1094234,-0.07452431,-0.08251394
FST,3.5873199,-0.0072553013,-0.017875658,4.038581,5.6178827,-0.03267161,6.3694024,-0.011636928,2.4630427,-0.04931873,4.7284355,4.4171658,-0.066017725,2.5487602,-0.0572458,-0.06721994
TEAD3,4.851332,-0.017244369,-0.03650158,3.2254922,6.416562,-0.046021093,8.106005,-0.003939815,2.5239143,-0.044867106,5.803915,4.9522834,-0.076349825,2.110527,-0.074776575,-0.082586534
GAS6,5.1114182,-0.012557707,-0.029665612,1.9366977,5.4202805,-0.038986146,7.813125,0.18680906,2.0469992,-0.030658297,4.175286,4.0196695,-0.06237259,2.1394591,-0.06882749,-0.084108144
DPP4,4.8366776,-0.017076733,-0.036187433,3.2166903,6.4000845,-0.04591137,8.080505,-0.003967965,2.520023,-0.04472183,5.776001,4.9347982,-0.07611952,2.1024358,-0.07441169,-0.08240356
GM22862,1.2750942,0.50784075,0.40021995,0.84832203,2.1817462,-0.015784109,2.1462147,-0.005549229,0.17540494,-0.015097676,2.2852573,2.4102368,-0.019400489,0.51212114,-0.016297778,-0.017579608
CSRP2,4.76445,-0.016649503,-0.03531545,3.179856,6.3182383,-0.045416158,7.952172,-0.0040523447,2.4790738,-0.0443124,5.686034,4.868675,-0.07511499,2.0690253,-0.07313357,-0.081522346
KEAP1,4.8542,-0.017213574,-0.03649268,3.2275267,6.420972,-0.046041243,8.109201,-0.003966239,2.5263302,-0.044894557,5.80949,4.9566116,-0.076407366,2.1141806,-0.07481189,-0.082598634
RNF14,4.8419504,-0.01714444,-0.03640187,3.2218473,6.391864,-0.045916524,8.084441,-0.0039187716,2.5205648,-0.044820238,5.788336,4.9392104,-0.076307915,2.1138332,-0.07459692,-0.082510814
PHLDB2,4.799353,-0.016860813,-0.03581885,3.2027438,6.3444004,-0.04563723,8.011536,-0.0039719525,2.5029447,-0.044580787,5.731289,4.8985705,-0.07576629,2.0969315,-0.07379569,-0.08202111
KAT6B,4.817513,-0.016962355,-0.036025368,3.2051253,6.3704624,-0.045781936,8.048094,-0.0039688065,2.510235,-0.04462735,5.7571983,4.9170394,-0.07596183,2.104927,-0.07411826,-0.08218037
PER1,4.829278,-0.017077258,-0.03628504,3.2227302,6.3855953,-0.045839194,8.060739,-0.0039535365,2.5184155,-0.044800688,5.7835417,4.9294124,-0.07620474,2.1137788,-0.07447711,-0.08236678
KAT2B,4.848937,-0.017270925,-0.036644258,3.2292569,6.4040155,-0.045967873,8.103688,-0.0038524414,2.5234025,-0.044889458,5.808572,4.9498134,-0.07648066,2.1218696,-0.07488365,-0.082628116
BARD1,4.8322587,-0.017094439,-0.036354296,3.2226818,6.390669,-0.045883227,8.075691,-0.0039526657,2.5163121,-0.04486611,5.7878914,4.938446,-0.076285385,2.1197875,-0.07455512,-0.082434446
CRIP2,4.814946,-0.016951593,-0.03599662,3.209658,6.3712664,-0.045776438,8.039059,-0.003978434,2.505066,-0.044687446,5.754654,4.917076,-0.075910226,2.0978703,-0.07407694,-0.08217719
IRF1,5.0433326,-0.012203534,-0.02892447,1.9197667,5.363941,-0.038665444,7.710493,0.17369995,2.022809,-0.030441573,4.1151085,3.9691694,-0.06173451,2.113844,-0.067731455,-0.08334752
EDA2R,4.912252,-0.01821172,-0.037396602,2.9826152,6.224962,-0.048270836,7.537698,-0.00643312,2.7205088,-0.04548741,5.447111,4.508138,-0.07562865,2.0418503,-0.07366423,-0.084225245
CHD4,1.9506744,0.17383319,-0.002689958,1.1933385,2.9936202,-0.021907175,3.1631043,-0.0060784905,0.74983805,-0.019879682,2.6908278,2.6204832,-0.029880328,0.9018504,-0.026736915,-0.03119532
PATJ,4.7932415,-0.016836459,-0.03573055,3.1976774,6.34816,-0.04563008,8.006716,-0.0039923172,2.49737,-0.044536762,5.7275677,4.8953257,-0.07565175,2.0917902,-0.07369198,-0.081942394
ZMYM2,4.7808633,-0.01670266,-0.03549889,3.1882348,6.326847,-0.045503907,7.9789042,-0.003988988,2.492916,-0.04438246,5.7009754,4.8762097,-0.0754182,2.083763,-0.07338327,-0.08176383
POLR3B,5.1287823,-0.0068146395,-0.022062628,3.1777139,6.7942944,-0.041674703,7.078456,-0.007943409,2.0641909,-0.038378425,6.087487,4.794083,-0.06203999,0.8703369,-0.061224885,-0.06818001
DNAJC10,4.826454,-0.01702319,-0.03614896,3.2122228,6.377883,-0.04583547,8.057814,-0.00395001,2.5127819,-0.044720683,5.768365,4.925106,-0.07608563,2.105227,-0.074273534,-0.0823124
BEND5,4.847271,-0.017117541,-0.036349438,3.22171,6.4037333,-0.045972634,8.096349,-0.0039406577,2.5249858,-0.044810582,5.790683,4.9415765,-0.07633481,2.1158304,-0.074602045,-0.08255012
FAM129B,4.811582,-0.016967805,-0.036121838,3.2095995,6.3438377,-0.045691438,8.029806,-0.0038873362,2.5033348,-0.044697117,5.7472706,4.908048,-0.07599471,2.107468,-0.0740904,-0.08220384
SLC25A5,4.764414,-0.016632939,-0.03533311,3.1853623,6.3119392,-0.045370854,7.951769,-0.004018767,2.4858973,-0.044323936,5.68577,4.864935,-0.07521728,2.0774176,-0.073162824,-0.08156167
DMRT1,4.813909,-0.016927171,-0.03588668,3.2089822,6.3686333,-0.045720536,8.035513,-0.0039964127,2.513631,-0.044593036,5.747158,4.911276,-0.075863406,2.097083,-0.07400081,-0.08215354
CTSL,4.831099,-0.01697999,-0.036152303,3.2110991,6.3891144,-0.04587455,8.062147,-0.004000095,2.5121012,-0.044716086,5.7746086,4.928843,-0.07605643,2.1053581,-0.07434938,-0.08227687
LAMB2,4.8193116,-0.01696555,-0.03604871,3.2103763,6.3725977,-0.045794643,8.048297,-0.003955984,2.508418,-0.044691037,5.7564325,4.9167905,-0.07598568,2.1034577,-0.074135505,-0.08225155
AKR1B8,4.8170547,-0.017192401,-0.036572937,3.217996,6.367914,-0.045748267,8.059382,-0.0038230782,2.5025496,-0.0447903,5.799491,4.9438915,-0.07621825,2.1170428,-0.074681655,-0.08215541
DDX20,4.8034506,-0.01674982,-0.035668857,3.1968503,6.353815,-0.045668676,8.015742,-0.0040108403,2.4999547,-0.044528354,5.7283144,4.8976407,-0.07566641,2.0914993,-0.07370275,-0.08198234
EED,4.199616,-0.012532068,-0.027999021,2.7331495,5.830079,-0.041494217,7.1213794,-0.0050189313,2.1244216,-0.03938589,5.184469,4.507985,-0.066274054,1.8500309,-0.06394541,-0.07142
PITX2,4.8208685,-0.01693612,-0.035988882,3.2075896,6.378557,-0.04577504,8.049072,-0.0039755115,2.5105958,-0.044600986,5.7555065,4.9153256,-0.075909615,2.100086,-0.07412367,-0.08219661
POLR2E,4.8575993,-0.017240586,-0.036599077,3.2272592,6.4141216,-0.046042614,8.11686,-0.0039059087,2.5279071,-0.044909578,5.809413,4.953135,-0.07651152,2.122707,-0.07488244,-0.08269613
ADAM19,4.8227687,-0.017042061,-0.03611327,3.2143972,6.383259,-0.04584684,8.057707,-0.003965534,2.5108314,-0.04474482,5.763652,4.9233427,-0.07603073,2.1012814,-0.0742267,-0.0823351
KLF13,4.8144298,-0.016961718,-0.035972312,3.2096574,6.3714285,-0.045786235,8.03596,-0.003983856,2.5036414,-0.044714022,5.7472925,4.910714,-0.075870976,2.0936353,-0.07402621,-0.082256585
GTF2A1L,4.8529854,-0.017270563,-0.03663223,3.2309194,6.4075117,-0.045977432,8.106413,-0.0038671473,2.5259829,-0.04489775,5.810255,4.9509597,-0.07649655,2.1213527,-0.07488932,-0.08265813
KLF8,4.819612,-0.01703565,-0.03628901,3.2173927,6.370041,-0.04577945,8.048848,-0.00393388,2.5100894,-0.044788074,5.780574,4.929333,-0.07616956,2.1149154,-0.07442506,-0.08224242
IRF3,4.8112655,-0.016923312,-0.035996433,3.196157,6.3574543,-0.045672372,8.033542,-0.003998262,2.507276,-0.0445222,5.757036,4.9142094,-0.07582221,2.101178,-0.07406331,-0.08192608
ECT2,4.777433,-0.016613448,-0.03532392,3.180082,6.331767,-0.045491733,7.9717307,-0.0040657413,2.4887831,-0.044301312,5.6972322,4.8761315,-0.07523131,2.0758135,-0.073271714,-0.081602864
ZDHHC16,4.799322,-0.017007276,-0.036466252,2.908631,6.289319,-0.04349168,8.065626,-0.002572378,2.467894,-0.046697754,5.636813,4.0598793,-0.07214661,2.512591,-0.071337365,-0.07675181
RAD54B,4.826524,-0.016997516,-0.03611758,3.2104042,6.382512,-0.045824945,8.060739,-0.003965515,2.5129135,-0.04466597,5.7703667,4.9265537,-0.076044664,2.1068819,-0.07427897,-0.08224515
ABT1,4.863186,-0.017207904,-0.036612976,3.2255328,6.4242697,-0.046084274,8.126266,-0.0039244792,2.5268927,-0.044905655,5.822362,4.9641967,-0.07653868,2.1225293,-0.07496827,-0.08264439
AGAP3,4.8731728,-0.017397765,-0.036820523,3.2334986,6.439687,-0.04612354,8.141691,-0.0039073895,2.5327854,-0.044943918,5.8343964,4.9724665,-0.07658512,2.1185083,-0.07520559,-0.08276824
COIL,4.789133,-0.016777659,-0.035667587,3.19589,6.341818,-0.04558436,7.995291,-0.004014466,2.4970725,-0.044500794,5.7242994,4.8926716,-0.075589344,2.0911412,-0.073647745,-0.08184061
GM15181,1.2750942,0.50784075,0.40021995,0.84832203,2.1817462,-0.015784109,2.1462147,-0.005549229,0.17540494,-0.015097676,2.2852573,2.4102368,-0.019400489,0.51212114,-0.016297778,-0.017579608
GM26092,1.2735019,0.50745285,0.39881393,0.84688973,2.1812744,-0.015779687,2.145198,-0.0055466,0.1750122,-0.0151078,2.2834058,2.4117224,-0.019399187,0.51086223,-0.016307289,-0.017555492
DDX54,4.809748,-0.016919423,-0.035920173,3.2031958,6.3625164,-0.04573169,8.030356,-0.003986038,2.5042603,-0.044613354,5.7469635,4.9114103,-0.07583383,2.0966558,-0.07397505,-0.082101874
SIRT1,4.82483,-0.017013991,-0.03618185,3.2123086,6.372059,-0.045829866,8.057108,-0.0039430344,2.5108817,-0.044755995,5.7689066,4.926962,-0.07612407,2.1085026,-0.07428661,-0.082304664
MSX2,4.7511377,-0.016575387,-0.035069663,3.1725647,6.2999153,-0.04527073,7.930168,-0.0040748436,2.4799454,-0.044153318,5.657874,4.8515005,-0.074874885,2.060243,-0.07281028,-0.08134054
TSG101,4.82736,-0.017040314,-0.03623022,3.2151325,6.3757496,-0.04582427,8.059508,-0.003924975,2.5131557,-0.04473542,5.7736588,4.92522,-0.07613878,2.1117525,-0.07436678,-0.082346186
AF357399,1.2750942,0.50784075,0.40021995,0.84832203,2.1817462,-0.015784109,2.1462147,-0.005549229,0.17540494,-0.015097676,2.2852573,2.4102368,-0.019400489,0.51212114,-0.016297778,-0.017579608
ZFYVE21,4.800227,-0.016894633,-0.035781167,3.1984923,6.358488,-0.045680866,8.019784,-0.003983981,2.505494,-0.044505123,5.7316103,4.9004436,-0.07563093,2.0922694,-0.07383246,-0.08199444
ANP32A,4.812968,-0.016864147,-0.035862327,3.2055175,6.368781,-0.045761783,8.036132,-0.003976365,2.5053904,-0.044616617,5.742608,4.9095564,-0.075833604,2.0955455,-0.07395891,-0.082155816
SLC26A10,4.8964643,-0.021110548,-0.04085281,2.9338534,6.221081,-0.04324131,8.355148,-0.004455155,2.6385174,-0.045450747,5.802023,4.4540706,-0.074965306,2.413972,-0.074755535,-0.08006933
LY6G6E,4.793547,-0.016840931,-0.035775937,3.1982667,6.3407354,-0.045630526,8.000086,-0.004026807,2.4958224,-0.044603933,5.7266207,4.897484,-0.07565762,2.0896845,-0.073718034,-0.08195525
SRI,4.873894,-0.017353129,-0.03679763,3.2358966,6.437127,-0.0461333,8.142068,-0.0039044889,2.5348752,-0.044983387,5.833832,4.970822,-0.07666659,2.1254137,-0.07519274,-0.082826495
KDM3A,4.79529,-0.016863132,-0.035708014,3.1962354,6.3509073,-0.045655623,8.01467,-0.0039743865,2.4964545,-0.0445249,5.724106,4.895454,-0.07562747,2.0886595,-0.073645286,-0.08199641
ZFP446,4.8177466,-0.016955217,-0.035999533,3.211818,6.388562,-0.045822524,8.060245,-0.0039832913,2.5132253,-0.04466496,5.765253,4.924253,-0.07601339,2.1059067,-0.07417169,-0.08220922
NCOA3,4.808741,-0.016907472,-0.035837486,3.2036176,6.3699865,-0.04574911,8.032936,-0.0040047355,2.5027382,-0.04461684,5.7425327,4.910297,-0.07577352,2.0915983,-0.07389086,-0.08210981
ATF5,4.7998557,-0.01682102,-0.035774857,3.1997135,6.359908,-0.04566421,8.011234,-0.0040346873,2.4992886,-0.04455568,5.743634,4.9048657,-0.075673,2.0944104,-0.07385648,-0.08191054
PSIP1,3.5520241,-0.0070507,-0.017576264,3.9841938,5.5431004,-0.032512944,6.292535,-0.011425862,2.4223878,-0.048854265,4.6599474,4.359115,-0.065432325,2.5133827,-0.05644454,-0.06686944
NFATC3,4.5026236,-0.018491296,-0.033681933,3.0265427,6.409316,-0.04748059,8.149369,-0.0051802527,2.7691352,-0.041455597,5.476467,4.693333,-0.07412148,2.0425556,-0.06973087,-0.07885158
GLI1,4.8215613,-0.01694173,-0.035984304,3.1987286,6.389492,-0.04588701,8.057334,-0.004067099,2.5113757,-0.044675086,5.773961,4.932354,-0.075953156,2.1015692,-0.0741953,-0.082094975
MAPK8,4.331248,-0.0133997,-0.029405478,2.8368933,5.864464,-0.04237383,7.2596655,-0.0047056647,2.2293189,-0.040643018,5.1946716,4.5245934,-0.06831448,1.8984389,-0.065421455,-0.07425407
NR5A2,4.774666,-0.016697599,-0.035435297,3.1831636,6.325554,-0.04551818,7.971406,-0.0040212832,2.4817448,-0.04441421,5.6936884,4.874419,-0.07526984,2.0737503,-0.07326404,-0.081699915
TENM4,4.8423595,-0.017151058,-0.036352478,3.2222178,6.397537,-0.045930307,8.085602,-0.003924766,2.52059,-0.04479972,5.7809963,4.934426,-0.07623501,2.1091576,-0.074545875,-0.08254175
THBD,4.840614,-0.01709447,-0.036231115,3.2224512,6.38949,-0.045804508,8.073733,-0.0040120366,2.5291748,-0.044684164,5.7733746,4.932453,-0.07613915,2.1130488,-0.07439385,-0.082379185
